"","UserID","SpID","prev_SpID","Long","Lat","ArriveTime","leaveTime","date","time","hour","day","x","y","location","gridcell"
"1",4,0,-1,116.327116238095,39.9929854285714,39745.3969791667,39745.4220138889,2008-10-24 09:31:39,"09:31:39",9,"Friday",12949475.3450747,4864922.99345136,1,1
"2",4,2,-1,116.325371465909,39.9813157045454,39746.2212615741,39746.3898842593,2008-10-25 05:18:37,"05:18:37",5,"Saturday",12949281.1179234,4863227.4999684,2,2
"3",4,3,-1,116.320415264706,39.991746,39747.3064583333,39747.3328819444,2008-10-26 07:21:18,"07:21:18",7,"Sunday",12948729.3961292,4864742.90320243,3,1
"4",4,4,3,116.3271314375,39.9993397708333,39747.336875,39747.3627083333,2008-10-26 08:05:06,"08:05:06",8,"Sunday",12949477.0370647,4865846.33726382,4,1
"5",4,5,4,116.416302171429,39.9691924857143,39747.401712963,39747.5653009259,2008-10-26 09:38:28,"09:38:28",9,"Sunday",12959403.4777593,4861466.42489726,5,3
"6",4,7,6,116.315596473684,40.0028597631579,39748.3370023148,39748.4252430556,2008-10-27 08:05:17,"08:05:17",8,"Monday",12948192.9707664,4866357.86119444,6,1
"7",4,9,8,116.326697470588,39.9998817941176,39749.3235185185,39749.4403935185,2008-10-28 07:45:52,"07:45:52",7,"Tuesday",12949428.7280891,4865925.10216136,4,1
"8",4,10,9,116.32110366129,40.0088502903226,39749.4454282407,39749.4763310185,2008-10-28 10:41:25,"10:41:25",10,"Tuesday",12948806.0280864,4867228.46293332,7,1
"9",4,11,-1,116.325963590909,40.0007945454545,39750.2232060185,39750.2546875,2008-10-29 05:21:25,"05:21:25",5,"Wednesday",12949347.0329769,4866057.74135505,8,1
"10",4,14,-1,116.326331678571,40.0000676071428,39751.0783217593,39751.1556597222,2008-10-30 01:52:47,"01:52:47",1,"Thursday",12949388.008308,4865952.10399379,4,1
"11",4,16,15,116.320497340425,39.9922554680851,39751.2736689815,39751.3009722222,2008-10-30 06:34:05,"06:34:05",6,"Thursday",12948738.5327565,4864816.92904474,9,1
"12",4,17,16,116.3268012,39.9995195142857,39751.3045023148,39751.3555555556,2008-10-30 07:18:29,"07:18:29",7,"Thursday",12949440.2751944,4865872.45687429,4,1
